/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

========================================================================
  Off-Policy vs On-Policy Comparison
  Envs:  ['Hopper-v4', 'Walker2d-v4', 'HalfCheetah-v4']
  Algos: ['SAC', 'TD3']  (SAC/TD3: 1,000,000 steps)
  Seeds: [42, 123, 456, 789, 1234]
  Total runs: 30
========================================================================


  [1/30] Hopper-v4 | SAC | seed=42
[SAC] Step  430080/1000000 | Eval:   3319.4 | Buffer:  430080 | Elapsed: 3153s
[SAC] Step  440320/1000000 | Eval:   3360.5 | Buffer:  440320 | Elapsed: 3232s
[SAC] Step  450560/1000000 | Eval:   3354.7 | Buffer:  450560 | Elapsed: 3311s
[SAC] Step  460800/1000000 | Eval:   3385.8 | Buffer:  460800 | Elapsed: 3390s
[SAC] Step  471040/1000000 | Eval:   3123.8 | Buffer:  471040 | Elapsed: 3468s
[SAC] Step  481280/1000000 | Eval:   3367.7 | Buffer:  481280 | Elapsed: 3547s
[SAC] Step  491520/1000000 | Eval:   3374.6 | Buffer:  491520 | Elapsed: 3625s
[SAC] Step  501760/1000000 | Eval:   3423.1 | Buffer:  501760 | Elapsed: 3700s
[SAC] Step  512000/1000000 | Eval:   3376.8 | Buffer:  512000 | Elapsed: 3775s
[SAC] Step  522240/1000000 | Eval:   3358.7 | Buffer:  522240 | Elapsed: 3851s
[SAC] Step  532480/1000000 | Eval:   3329.9 | Buffer:  532480 | Elapsed: 3926s
[SAC] Step  542720/1000000 | Eval:   3390.3 | Buffer:  542720 | Elapsed: 4002s
[SAC] Step  552960/1000000 | Eval:   3412.5 | Buffer:  552960 | Elapsed: 4077s
[SAC] Step  563200/1000000 | Eval:   3365.6 | Buffer:  563200 | Elapsed: 4152s
[SAC] Step  573440/1000000 | Eval:   3401.1 | Buffer:  573440 | Elapsed: 4227s
[SAC] Step  583680/1000000 | Eval:   3400.4 | Buffer:  583680 | Elapsed: 4302s
